id,name,parent_id/id,is_agri,cost_type,cost_driver,uom_id/id,sale_ok,purchase_ok
agri.product_category_crop_paprika,Paprika,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_parsley,Parsley,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_parsnips,Parsnips,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_grazing_pastures,Pastures,agri.product_category_grazing,True,grazing,land,agri.agri_uom_ha,,True
agri.product_category_crop_patty_pans,Patty pans,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_pawpaws,Pawpaws,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_peaches,Peaches,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_pears,Pears,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_crop_peas,Peas,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_peas_mange_touts,Peas - Mange touts [syn. Peas - Snap peas,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_peas_snow_peas,Peas - Snow peas,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_pecan_nuts,Pecan nuts,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_crop_peppers,Peppers,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_peppers_bell_peppers,Peppers - Bell peppers,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_peppers_chillies,Peppers - Chillies,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_peppers_green_peppers,Peppers - Green peppers,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_peppers_pimento,Peppers - Pimento,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_peppers_piquante,Peppers - Piquante,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_peppers_sweet_peppers,Peppers - Sweet peppers,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_petunias,Petunias,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_non_agri_pigsties,Pigsties,agri.product_category_non_agri,True,non_agri,land,agri.agri_uom_sq_m,,True
agri.product_category_permanent_crop_pineapples,Pineapples,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_pines,Pines,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_pistachio_nuts,Pistachio nuts,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_plums,Plums,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_crop_poinsettias,Poinsettias,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_non_agri_ponds,Ponds,agri.product_category_non_agri,True,non_agri,land,agri.agri_uom_sq_m,,True
agri.product_category_poplars,Poplars,agri.product_category_timber,True,timber,land,agri.agri_uom_ha,,True
agri.product_category_crop_potatoes,Potatoes,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_non_agri_potting_soil,Potting soil or mixtures,agri.product_category_non_agri,True,non_agri,land,agri.agri_uom_ha,,True
agri.product_category_non_agri_poultry_sheds,Poultry sheds,agri.product_category_non_agri,True,non_agri,land,agri.agri_uom_sq_m,,True
agri.product_category_permanent_crop_prickly_pears,Prickly pears,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_proteas,Proteas,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_prunes,Prunes,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_non_agri_public_health,Public health,agri.product_category_non_agri,True,non_agri,land,agri.agri_uom_ha,,True
agri.product_category_permanent_crop_pummelos,Pummelos,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_crop_pumpkins,Pumpkins,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_quinces,Quinces,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_non_agri_railway_lines,Railway lines,agri.product_category_non_agri,True,non_agri,land,agri.agri_uom_ha,,True
agri.product_category_permanent_crop_raspberries,Raspberries,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_crop_rice,Rice,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_non_agri_road_sides,Road sides,agri.product_category_non_agri,True,non_agri,land,agri.agri_uom_ha,,True
agri.product_category_permanent_crop_rooibos_tea,Rooibos tea,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_roses,Roses,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_crop_row_crops,Row crops,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_rye,Rye,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_satsumas,Satsumas,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_crop_seedbeds,Seedbeds,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_seedlings,Seedlings,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_grazing_serradella,Serradella,agri.product_category_grazing,True,grazing,land,agri.agri_uom_ha,,True
agri.product_category_permanent_crop_sisal,Sisal,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_non_agri_soil,Soil,agri.product_category_non_agri,True,non_agri,land,agri.agri_uom_ha,,True
agri.product_category_crop_sorghum,Sorghum,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_soya_beans,Soya beans,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_spanspek,Spanspek,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_spinach,Spinach,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_spineless_prickly_pears,Spineless prickly pears,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_crop_squashes,Squashes,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_strawberries,Strawberries,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_sugar_beet,Sugar beet,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_sugarcane,Sugarcane,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_crop_sunflowers,Sunflowers,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_sweetcorn,Sweetcorn,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_sweet_potatoes,Sweet potatoes,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_table_grapes,Table grapes,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_tangelos,Tangelos,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_tangerines,Tangerines,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_tea,Tea,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_crop_tobacco,Tobacco,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_tomatoes,Tomatoes,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_triticale,Triticale,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_non_agri_turf,Turf,agri.product_category_non_agri,True,non_agri,land,agri.agri_uom_ha,,True
